match_id,event_file,competition_id,season_id
3754000,open-data-master\data\events\3754000.json,2,27
3754001,open-data-master\data\events\3754001.json,2,27
3754002,open-data-master\data\events\3754002.json,2,27
3754004,open-data-master\data\events\3754004.json,2,27
3754005,open-data-master\data\events\3754005.json,2,27
3754007,open-data-master\data\events\3754007.json,2,27
3754009,open-data-master\data\events\3754009.json,2,27
3754010,open-data-master\data\events\3754010.json,2,27
3754011,open-data-master\data\events\3754011.json,2,27
3754012,open-data-master\data\events\3754012.json,2,27
3754013,open-data-master\data\events\3754013.json,2,27
3754014,open-data-master\data\events\3754014.json,2,27
3754016,open-data-master\data\events\3754016.json,2,27
3754017,open-data-master\data\events\3754017.json,2,27
3754018,open-data-master\data\events\3754018.json,2,27
3754021,open-data-master\data\events\3754021.json,2,27
3754022,open-data-master\data\events\3754022.json,2,27
3754024,open-data-master\data\events\3754024.json,2,27
3754025,open-data-master\data\events\3754025.json,2,27
3754027,open-data-master\data\events\3754027.json,2,27
3754029,open-data-master\data\events\3754029.json,2,27
3754031,open-data-master\data\events\3754031.json,2,27
3754032,open-data-master\data\events\3754032.json,2,27
3754033,open-data-master\data\events\3754033.json,2,27
3754034,open-data-master\data\events\3754034.json,2,27
3754035,open-data-master\data\events\3754035.json,2,27
3754037,open-data-master\data\events\3754037.json,2,27
3754039,open-data-master\data\events\3754039.json,2,27
3754041,open-data-master\data\events\3754041.json,2,27
3754044,open-data-master\data\events\3754044.json,2,27
3754045,open-data-master\data\events\3754045.json,2,27
3754046,open-data-master\data\events\3754046.json,2,27
3754047,open-data-master\data\events\3754047.json,2,27
3754048,open-data-master\data\events\3754048.json,2,27
3754049,open-data-master\data\events\3754049.json,2,27
3754050,open-data-master\data\events\3754050.json,2,27
3754051,open-data-master\data\events\3754051.json,2,27
3754053,open-data-master\data\events\3754053.json,2,27
3754054,open-data-master\data\events\3754054.json,2,27
3754055,open-data-master\data\events\3754055.json,2,27
3754058,open-data-master\data\events\3754058.json,2,27
3754059,open-data-master\data\events\3754059.json,2,27
3754060,open-data-master\data\events\3754060.json,2,27
3754061,open-data-master\data\events\3754061.json,2,27
3754062,open-data-master\data\events\3754062.json,2,27
3754064,open-data-master\data\events\3754064.json,2,27
3754066,open-data-master\data\events\3754066.json,2,27
3754067,open-data-master\data\events\3754067.json,2,27
3754068,open-data-master\data\events\3754068.json,2,27
3754069,open-data-master\data\events\3754069.json,2,27
3754070,open-data-master\data\events\3754070.json,2,27
3754071,open-data-master\data\events\3754071.json,2,27
3754073,open-data-master\data\events\3754073.json,2,27
3754074,open-data-master\data\events\3754074.json,2,27
3754075,open-data-master\data\events\3754075.json,2,27
3754076,open-data-master\data\events\3754076.json,2,27
3754077,open-data-master\data\events\3754077.json,2,27
3754078,open-data-master\data\events\3754078.json,2,27
3754080,open-data-master\data\events\3754080.json,2,27
3754081,open-data-master\data\events\3754081.json,2,27
3754082,open-data-master\data\events\3754082.json,2,27
3754083,open-data-master\data\events\3754083.json,2,27
3754084,open-data-master\data\events\3754084.json,2,27
3754085,open-data-master\data\events\3754085.json,2,27
3754086,open-data-master\data\events\3754086.json,2,27
3754088,open-data-master\data\events\3754088.json,2,27
3754089,open-data-master\data\events\3754089.json,2,27
3754090,open-data-master\data\events\3754090.json,2,27
3754091,open-data-master\data\events\3754091.json,2,27
3754092,open-data-master\data\events\3754092.json,2,27
3754093,open-data-master\data\events\3754093.json,2,27
3754094,open-data-master\data\events\3754094.json,2,27
3754096,open-data-master\data\events\3754096.json,2,27
3754098,open-data-master\data\events\3754098.json,2,27
3754100,open-data-master\data\events\3754100.json,2,27
